,Player,Height (m),Weight (kg),Born,NBA_Rookie,NBA_Retired,Position,Birth Date,Pos,Team
2171,Marty Conlon,208.0,101.0,1968.0,1992.0,2000.0,F-C,"January 19, 1968",,
2172,Tom Copa,208.0,124.0,1964.0,1992.0,1992.0,C,"October 30, 1964",,
2173,Chris Corchiani,183.0,83.0,1968.0,1992.0,1994.0,G,"March 28, 1968",,
2174,Corey Crowder,196.0,97.0,1969.0,1992.0,1995.0,G-F,"April 13, 1969",,
2175,Dale Davis,211.0,104.0,1969.0,1992.0,2007.0,F-C,"March 25, 1969",,
2176,Bison Dele,206.0,106.0,1969.0,1992.0,1999.0,F-C,"April 6, 1969",,
2177,Patrick Eddie,211.0,108.0,1967.0,1992.0,1992.0,C,"December 27, 1967",,
2178,LeRon Ellis,208.0,95.0,1940.0,1992.0,1996.0,F-C,"April 28, 1969",,
2179,Rick Fox,201.0,104.0,1969.0,1992.0,2004.0,F-G,"July 24, 1969",,
2180,Chris Gatling,208.0,99.0,1967.0,1992.0,2002.0,F-C,"September 3, 1967",,
2181,Paul Graham,198.0,90.0,1967.0,1992.0,1994.0,F-G,"November 28, 1967",,
2182,Sean Green,196.0,95.0,1970.0,1992.0,1994.0,G-F,"February 2, 1970",,
2183,Carl Herrera,206.0,97.0,1966.0,1992.0,1999.0,F,"December 14, 1966",,
2184,Donald Hodge,213.0,104.0,1969.0,1992.0,1996.0,C,"February 25, 1969",,
2185,Brian Howard,198.0,92.0,1967.0,1992.0,1993.0,F,"October 19, 1967",,
2186,Cedric Hunter,183.0,81.0,1965.0,1992.0,1992.0,G,"January 16, 1965",,
2187,Mike Iuzzolino,178.0,79.0,1968.0,1992.0,1993.0,G,"January 22, 1968",,
2188,Rich King,218.0,117.0,1969.0,1992.0,1995.0,C,"April 4, 1969",,
2189,Doug Lee,196.0,90.0,1964.0,1992.0,1995.0,G-F,"October 24, 1964",,
2190,Luc Longley,218.0,120.0,1969.0,1992.0,2001.0,C,"January 19, 1969",,
2191,Kevin Lynch,196.0,88.0,1968.0,1992.0,1993.0,G-F,"December 24, 1968",,
2192,Mark Macon,196.0,83.0,1969.0,1992.0,1999.0,G,"April 14, 1969",,
2193,Tharon Mayes,190.0,79.0,1968.0,1992.0,1992.0,G,"September 9, 1968",,
2194,Rodney Monroe,190.0,83.0,1968.0,1992.0,1992.0,G,"April 16, 1968",,
2195,Tracy Moore,193.0,90.0,1965.0,1992.0,1997.0,G-F,"December 28, 1965",,
2196,Eric Murdock,185.0,86.0,1968.0,1992.0,2000.0,G,"June 14, 1968",,
2197,Dikembe Mutombo*,218.0,111.0,1966.0,,,,,,
2198,Jimmy Oliver,196.0,92.0,1969.0,1992.0,1999.0,G-F,"July 12, 1969",,
2199,Billy Owens,203.0,99.0,1969.0,1992.0,2001.0,F-G,"May 1, 1969",,
2200,Keith Owens,201.0,102.0,1969.0,1992.0,1992.0,F,"May 31, 1969",,
2201,Robert Pack,188.0,81.0,1969.0,1992.0,2004.0,G,"February 3, 1969",,
2202,Elliot Perry,183.0,68.0,1969.0,1992.0,2002.0,G,"March 28, 1969",,
2203,Bobby Phills,196.0,95.0,1969.0,1992.0,2000.0,G,"December 20, 1969",,
2204,Mark Randall,203.0,106.0,1967.0,1992.0,1995.0,F,"September 30, 1967",,
2205,Stanley Roberts,213.0,129.0,1970.0,1992.0,2000.0,C,"February 7, 1970",,
2206,Doug Smith,188.0,86.0,1920.0,1992.0,1996.0,F,"September 17, 1969",,
2207,LaBradford Smith,203.0,97.0,1958.0,1992.0,1994.0,G,"April 3, 1969",,
2208,Steve Smith,201.0,90.0,1969.0,1992.0,2005.0,G,"March 31, 1969",,
2209,Larry Stewart,203.0,99.0,1968.0,1992.0,1997.0,F,"September 21, 1968",,
2210,Derek Strong,203.0,99.0,1968.0,1992.0,2001.0,F,"February 9, 1968",,
2211,Lamont Strothers,193.0,86.0,1968.0,1992.0,1993.0,G,"May 10, 1968",,
2212,Greg Sutton,188.0,77.0,1967.0,1992.0,1996.0,G,"December 3, 1967",,
2213,Carl Thomas,193.0,79.0,1969.0,1992.0,1998.0,G,"October 3, 1969",,
2214,Charles Thomas,190.0,79.0,1969.0,1992.0,1992.0,G,"October 3, 1969",,
2215,Stephen Thompson,193.0,83.0,1968.0,1992.0,1992.0,G,"December 2, 1968",,
2216,John Turner,203.0,111.0,1967.0,1992.0,1992.0,F,"November 30, 1967",,
2217,Joao Vianna,206.0,97.0,1966.0,1992.0,1992.0,F,"November 15, 1966",,
2218,Eric Anderson,206.0,99.0,1970.0,1993.0,1994.0,F,"May 26, 1970",,
2219,Anthony Avent,206.0,106.0,1969.0,1993.0,2000.0,F,"October 18, 1969",,
2220,Jon Barry,193.0,88.0,1969.0,1993.0,2006.0,G,"July 25, 1969",,
2221,Tony Bennett,183.0,79.0,1969.0,1993.0,1995.0,G,"June 1, 1969",,
2222,Alex Blackwell,198.0,113.0,1970.0,1993.0,1993.0,F,"June 27, 1970",,
2223,Ricky Blanton,201.0,97.0,1966.0,1993.0,1993.0,F,"April 21, 1966",,
2224,Walter Bond,196.0,90.0,1969.0,1993.0,1995.0,G,"February 1, 1969",,
2225,Dexter Cambridge,201.0,101.0,1970.0,1993.0,1993.0,F,"January 29, 1970",,
2226,Doug Christie,198.0,90.0,1970.0,1993.0,2007.0,G-F,"May 9, 1970",,
2227,Duane Cooper,185.0,83.0,1969.0,1993.0,1994.0,G,"June 25, 1969",,
2228,Joe Courtney,203.0,106.0,1969.0,1993.0,1997.0,F,"October 17, 1969",,
2229,John Crotty,185.0,83.0,1969.0,1993.0,2003.0,G,"July 15, 1969",,
2230,Radisav Curcic,208.0,124.0,1965.0,1993.0,1993.0,C,"September 26, 1965",,
2231,Lloyd Daniels,201.0,92.0,1967.0,1993.0,1998.0,G,"September 4, 1967",,
2232,Hubert Davis,196.0,83.0,1970.0,1993.0,2004.0,G,"May 17, 1970",,
2233,Todd Day,198.0,85.0,1970.0,1993.0,2001.0,G-F,"January 7, 1970",,
2234,Richard Dumas,190.0,77.0,1970.0,1993.0,1996.0,F,"May 19, 1969",,
2235,Pat Durham,201.0,95.0,1967.0,1993.0,1995.0,F,"March 10, 1967",,
2236,LaPhonso Ellis,203.0,108.0,1970.0,1993.0,2003.0,F,"May 5, 1970",,
2237,Matt Geiger,213.0,110.0,1969.0,1993.0,2002.0,C,"September 10, 1969",,
2238,Litterial Green,185.0,83.0,1970.0,1993.0,1999.0,G,"March 7, 1970",,
2239,Tom Gugliotta,208.0,108.0,1969.0,1993.0,2005.0,F,"December 19, 1969",,
2240,Jay Guidinger,208.0,115.0,1969.0,1993.0,1994.0,C,"August 18, 1969",,
2241,Robert Horry,206.0,99.0,1970.0,1993.0,2008.0,F,"August 25, 1970",,
2242,Byron Houston,196.0,113.0,1969.0,1993.0,1996.0,F,"November 22, 1969",,
2243,Stephen Howard,206.0,102.0,1970.0,1993.0,1998.0,F,"July 15, 1970",,
2244,Jim Jackson,198.0,99.0,1970.0,1993.0,2006.0,G,"October 14, 1970",,
2245,Keith Jennings,170.0,72.0,1968.0,1993.0,1995.0,G,"November 2, 1968",,
2246,Dave Johnson,201.0,95.0,1970.0,1993.0,1994.0,G-F,"November 16, 1970",,
2247,Thomas Jordan,208.0,99.0,1968.0,1993.0,1993.0,F-C,"May 23, 1968",,
2248,Adam Keefe,206.0,104.0,1970.0,1993.0,2001.0,F,"February 22, 1970",,
2249,Christian Laettner,211.0,106.0,1969.0,1993.0,2005.0,F-C,"August 17, 1969",,
2250,Sam Mack,201.0,99.0,1970.0,1993.0,2002.0,F-G,"May 26, 1970",,
2251,Don MacLean,208.0,106.0,1970.0,1993.0,2001.0,F,"January 16, 1970",,
2252,Marlon Maxey,203.0,113.0,1969.0,1993.0,1994.0,F,"February 19, 1969",,
2253,Lee Mayberry,185.0,78.0,1970.0,1993.0,1999.0,G,"June 12, 1970",,
2254,Oliver Miller,206.0,127.0,1970.0,1993.0,2004.0,C,"April 6, 1970",,
2255,Harold Miner,196.0,95.0,1971.0,1993.0,1996.0,G,"May 5, 1971",,
2256,Isaiah Morris,203.0,103.0,1969.0,1993.0,1993.0,F,"April 2, 1969",,
2257,Alonzo Mourning*,208.0,108.0,1970.0,,,,,,
2258,Tracy Murray,201.0,102.0,1971.0,1993.0,2004.0,F,"July 25, 1971",,
2259,Melvin Newbern,193.0,90.0,1967.0,1993.0,1993.0,G,"June 11, 1967",,
2260,Shaquille O'Neal*,216.0,147.0,1972.0,,,,,,
2261,Matt Othick,188.0,74.0,1969.0,1993.0,1993.0,G,"March 16, 1969",,
2262,Doug Overton,190.0,86.0,1969.0,1993.0,2004.0,G,"August 3, 1969",,
2263,Anthony Peeler,193.0,94.0,1969.0,1993.0,2005.0,G,"November 25, 1969",,
2264,Brent Price,185.0,74.0,1968.0,1993.0,2002.0,G,"December 9, 1968",,
2265,Anthony Pullard,208.0,111.0,1966.0,1993.0,1993.0,F,"June 23, 1966",,
2266,Sean Rooks,208.0,113.0,1969.0,1993.0,2004.0,C,"September 9, 1969",,
2267,Malik Sealy,203.0,86.0,1970.0,1993.0,2000.0,G,"February 1, 1970",,
2268,Chris Smith,208.0,104.0,1965.0,1993.0,1995.0,G,"May 17, 1970",,
2270,Reggie Smith,208.0,108.0,1970.0,1993.0,1994.0,C,"August 21, 1970",,
2271,Andre Spencer,198.0,95.0,1964.0,1993.0,1994.0,F,"July 20, 1964",,
2272,Elmore Spencer,213.0,122.0,1969.0,1993.0,1997.0,C,"December 6, 1969",,
2273,Latrell Sprewell,196.0,86.0,1970.0,1993.0,2005.0,G,"September 8, 1970",,
2274,Barry Stevens,196.0,88.0,1963.0,1993.0,1993.0,G-F,"January 17, 1963",,
2275,Bryant Stith,196.0,94.0,1970.0,1993.0,2002.0,G,"December 10, 1970",,
2276,Gundars Vetra,198.0,88.0,1967.0,1993.0,1993.0,F,"May 22, 1967",,
2277,Clarence Weatherspoon,198.0,108.0,1970.0,1993.0,2005.0,F,"September 8, 1970",,
2278,Marcus Webb,206.0,115.0,1970.0,1993.0,1993.0,F-C,"May 9, 1970",,
2279,Robert Werdann,211.0,113.0,1970.0,1993.0,1997.0,C,"September 12, 1970",,
2280,Corey Williams,188.0,86.0,1970.0,1993.0,1994.0,G,"April 24, 1970",,
2281,Lorenzo Williams,206.0,90.0,1969.0,1993.0,2000.0,F-C,"July 15, 1969",,
2282,Walt Williams,193.0,88.0,1923.0,1993.0,2003.0,F-G,"April 16, 1970",,
2283,Randy Woods,178.0,83.0,1970.0,1993.0,1996.0,G,"September 23, 1970",,
2284,Gary Alexander,201.0,108.0,1969.0,1994.0,1994.0,F,"November 1, 1969",,
2285,Vin Baker,211.0,105.0,1971.0,1994.0,2006.0,F,"November 23, 1971",,
2286,Corie Blount,206.0,108.0,1969.0,1994.0,2004.0,F,"January 4, 1969",,
2287,Shawn Bradley,229.0,106.0,1972.0,1994.0,2005.0,C,"March 22, 1972",,
2288,P.J. Brown,229.0,106.0,1972.0,1994.0,2008.0,F-C,"October 14, 1969",,
2289,Evers Burns,203.0,117.0,1971.0,1994.0,1994.0,F,"August 24, 1971",,
2290,Scott Burrell,201.0,98.0,1971.0,1994.0,2001.0,G-F,"January 12, 1971",,
2291,Mitchell Butler,188.0,77.0,1946.0,1994.0,2004.0,G-F,"December 15, 1970",,
2292,Sam Cassell,190.0,83.0,1969.0,1994.0,2008.0,G,"November 18, 1969",,
2293,Calbert Cheaney,201.0,94.0,1971.0,1994.0,2006.0,G-F,"July 17, 1971",,
2294,Michael Curry,196.0,95.0,1968.0,1994.0,2005.0,F-G,"August 22, 1968",,
2295,Antonio Davis,206.0,97.0,1968.0,1994.0,2006.0,F-C,"October 31, 1968",,
2296,Brian Davis,190.0,81.0,1955.0,1994.0,1994.0,F-G,"June 21, 1970",,
2297,Terry Dehere,188.0,86.0,1971.0,1994.0,1999.0,G,"September 12, 1971",,
2298,Dell Demps,190.0,92.0,1970.0,1994.0,1997.0,G,"February 12, 1970",,
2299,Acie Earl,208.0,108.0,1970.0,1994.0,1997.0,F-C,"June 23, 1970",,
2300,Bill Edwards,203.0,97.0,1971.0,1994.0,1994.0,F,"September 22, 1971",,
2301,Doug Edwards,201.0,99.0,1971.0,1994.0,1996.0,F,"January 21, 1971",,
2302,Harold Ellis,196.0,90.0,1970.0,1994.0,1998.0,G,"October 7, 1970",,
2303,Alphonso Ford,185.0,86.0,1971.0,1994.0,1995.0,G,"October 31, 1971",,
2304,Chad Gallagher,208.0,115.0,1969.0,1994.0,1994.0,C,"May 30, 1969",,
2305,Andrew Gaze,201.0,92.0,1965.0,1994.0,1999.0,G,"July 24, 1965",,
2306,Ricky Grace,185.0,81.0,1967.0,1994.0,1994.0,G,"August 20, 1967",,
2307,Greg Graham,193.0,78.0,1970.0,1994.0,1998.0,G,"November 26, 1970",,
2308,Josh Grant,206.0,101.0,1967.0,1994.0,1994.0,F,"August 7, 1967",,
2309,Andres Guibert,208.0,102.0,1968.0,1994.0,1995.0,F-C,"October 28, 1968",,
2310,Geert Hammink,213.0,118.0,1969.0,1994.0,1996.0,C,"July 12, 1969",,
2311,Anfernee Hardaway,201.0,88.0,1971.0,1994.0,2008.0,G-F,"July 18, 1971",,
2312,Lucious Harris,196.0,86.0,1970.0,1994.0,2005.0,G,"December 18, 1970",,
2313,Antonio Harvey,211.0,102.0,1970.0,1994.0,2003.0,F-C,"July 6, 1970",,
2314,Scott Haskin,211.0,113.0,1970.0,1994.0,1994.0,C-F,"September 19, 1970",,
2315,Skeeter Henry,201.0,86.0,1967.0,1994.0,1994.0,G,"December 8, 1967",,
2316,Allan Houston,198.0,90.0,1971.0,1994.0,2005.0,G,"April 20, 1971",,
2317,Lindsey Hunter,188.0,77.0,1970.0,1994.0,2010.0,G,"December 3, 1970",,
2318,Bobby Hurley,183.0,74.0,1971.0,1994.0,1998.0,G,"June 28, 1971",,
2319,Stanley Jackson,190.0,83.0,1970.0,1994.0,1994.0,G,"October 10, 1970",,
2320,Chris Jent,201.0,99.0,1970.0,1994.0,1997.0,F,"January 11, 1970",,
2321,Ervin Johnson,188.0,92.0,1966.0,1994.0,2006.0,C,"December 21, 1967",,
2322,Popeye Jones,203.0,113.0,1970.0,1994.0,2004.0,F,"June 17, 1970",,
2323,Adonis Jordan,180.0,77.0,1970.0,1994.0,1999.0,G,"August 21, 1970",,
2324,Reggie Jordan,193.0,88.0,1968.0,1994.0,2000.0,G,"January 26, 1968",,
2325,Warren Kidd,206.0,106.0,1970.0,1994.0,1994.0,F,"September 9, 1970",,
2326,Chris King,203.0,97.0,1969.0,1994.0,1999.0,F,"July 24, 1969",,
2327,Toni Kukoc,208.0,87.0,1968.0,1994.0,2006.0,F,"September 18, 1968",,
2328,George Lynch,203.0,98.0,1970.0,1994.0,2005.0,F,"September 3, 1970",,
2329,Malcolm Mackey,206.0,112.0,1970.0,1994.0,1994.0,F-C,"July 11, 1970",,
2330,Gerald Madkins,193.0,90.0,1969.0,1994.0,1998.0,G,"April 18, 1969",,
2331,Bob Martin,213.0,113.0,1969.0,1994.0,1995.0,C,"October 7, 1969",,
2332,Jamal Mashburn,203.0,108.0,1972.0,1994.0,2004.0,F,"November 29, 1972",,
2333,Darnell Mee,196.0,79.0,1971.0,1994.0,1995.0,G,"February 11, 1971",,
2334,Chris Mills,198.0,97.0,1970.0,1994.0,2003.0,F,"January 25, 1970",,
2335,Darren Morningstar,208.0,106.0,1969.0,1994.0,1994.0,C,"April 22, 1969",,
2336,Gheorghe Muresan,231.0,137.0,1971.0,1994.0,2000.0,C,"February 14, 1971",,
2337,Bo Outlaw,203.0,95.0,1971.0,1994.0,2008.0,F,"April 13, 1971",,
2338,Mike Peplowski,208.0,122.0,1970.0,1994.0,1996.0,C,"October 15, 1970",,
2339,Richard Petruska,208.0,117.0,1969.0,1994.0,1994.0,C-F,"January 25, 1969",,
2340,Dino Radja,211.0,102.0,1967.0,1994.0,1997.0,F-C,"April 24, 1967",,
2341,Isaiah Rider,196.0,97.0,1971.0,1994.0,2002.0,G,"March 12, 1971",,
2342,Eric Riley,213.0,111.0,1970.0,1994.0,1999.0,C,"June 2, 1970",,
2343,James Robinson,198.0,95.0,1955.0,1994.0,2001.0,G,"August 31, 1970",,
2344,Rodney Rogers,201.0,106.0,1971.0,1994.0,2005.0,F,"June 20, 1971",,
2345,Bryon Russell,201.0,102.0,1970.0,1994.0,2006.0,F,"December 31, 1970",,
2346,Kevin Thompson,211.0,117.0,1971.0,1994.0,1994.0,C-F,"February 7, 1971",,
2347,Keith Tower,211.0,113.0,1970.0,1994.0,1997.0,C-F,"May 15, 1970",,
2348,Nick Van,211.0,113.0,1970.0,,,,,,
2349,Rex Walters,193.0,86.0,1970.0,1994.0,2000.0,G,"March 12, 1970",,
2350,Chris Webber,206.0,111.0,1973.0,1994.0,2008.0,F-C,"March 1, 1973",,
2351,Matt Wenstrom,216.0,113.0,1970.0,1994.0,1994.0,C,"November 4, 1970",,
2352,David Wesley,183.0,86.0,1970.0,1994.0,2007.0,G,"November 14, 1970",,
2353,Chris Whitney,183.0,76.0,1971.0,1994.0,2004.0,G,"October 5, 1971",,
2354,Aaron Williams,206.0,99.0,1971.0,1994.0,2008.0,F-C,"October 2, 1971",,
2355,Luther Wright,218.0,122.0,1971.0,1994.0,1994.0,C,"September 22, 1971",,
2356,Derrick Alston,211.0,102.0,1972.0,1995.0,1997.0,F,"August 20, 1972",,
2357,Darrell Armstrong,183.0,77.0,1968.0,1995.0,2008.0,G,"June 22, 1968",,
2358,Sergei Bazarevich,188.0,76.0,1965.0,1995.0,1995.0,G,"March 16, 1965",,
2359,Elmer Bennett,183.0,77.0,1970.0,1995.0,1997.0,G,"February 13, 1970",,
2360,James Blackwell,183.0,86.0,1968.0,1995.0,1995.0,G,"February 25, 1968",,
2361,Tim Breaux,201.0,97.0,1970.0,1995.0,1998.0,F,"September 19, 1970",,
2362,Chris Childs,190.0,88.0,1967.0,1995.0,2003.0,G,"November 20, 1967",,
2363,Bill Curley,206.0,99.0,1972.0,1995.0,2001.0,F,"May 29, 1972",,
2364,Yinka Dare,213.0,120.0,1972.0,1995.0,1998.0,C,"October 10, 1972",,
2365,Tony Dumas,198.0,86.0,1972.0,1995.0,1998.0,G,"August 25, 1972",,
2366,Howard Eisley,188.0,80.0,1972.0,1995.0,2006.0,G,"December 4, 1972",,
2367,Matt Fish,211.0,106.0,1969.0,1995.0,1997.0,C,"November 18, 1969",,
2368,Brian Grant,206.0,115.0,1972.0,1995.0,2006.0,F,"March 5, 1972",,
2369,Darrin Hancock,201.0,92.0,1971.0,1995.0,1997.0,G-F,"November 3, 1971",,
2370,Jerome Harmon,193.0,86.0,1969.0,1995.0,1995.0,G,"February 6, 1969",,
2371,Grant Hill,203.0,102.0,1972.0,1995.0,2013.0,F-G,"October 5, 1972",,
2372,Tom Hovasse,203.0,92.0,1967.0,1995.0,1995.0,F,"January 31, 1967",,
2373,Juwan Howard,206.0,108.0,1973.0,1995.0,2013.0,F,"February 7, 1973",,
2374,Askia Jones,196.0,90.0,1971.0,1995.0,1995.0,G,"December 3, 1971",,
2375,Eddie Jones,208.0,102.0,1956.0,1995.0,2008.0,G-F,"October 20, 1971",,
2376,Jason Kidd,193.0,92.0,1973.0,1995.0,2013.0,G,"March 23, 1973",,
2377,Antonio Lang,211.0,111.0,1966.0,1995.0,2000.0,F-G,"May 15, 1972",,
2378,Ryan Lorthridge,193.0,86.0,1972.0,1995.0,1995.0,G,"July 27, 1972",,
2379,Donyell Marshall,206.0,98.0,1973.0,1995.0,2009.0,F,"May 18, 1973",,
2380,Darrick Martin,180.0,77.0,1971.0,1995.0,2008.0,G,"March 6, 1971",,
2381,Jim McIlvaine,216.0,108.0,1972.0,1995.0,2001.0,C,"July 30, 1972",,
2382,Aaron McKie,196.0,94.0,1972.0,1995.0,2007.0,G,"October 2, 1972",,
2383,Anthony Miller,206.0,102.0,1971.0,1995.0,2005.0,F,"October 22, 1971",,
2384,Greg Minor,198.0,95.0,1971.0,1995.0,1999.0,G-F,"September 18, 1971",,
2385,Eric Mobley,211.0,106.0,1970.0,1995.0,1997.0,C,"February 1, 1970",,
2386,Eric Montross,213.0,122.0,1971.0,1995.0,2002.0,C,"September 23, 1971",,
2387,Dwayne Morton,201.0,88.0,1971.0,1995.0,1995.0,F,"August 8, 1971",,
2388,Lamond Murray,201.0,107.0,1973.0,1995.0,2006.0,F,"April 20, 1973",,
2389,Ivano Newbill,206.0,111.0,1970.0,1995.0,1998.0,F,"December 12, 1970",,
2390,Julius Nwosu,208.0,115.0,1971.0,1995.0,1995.0,C,"May 1, 1971",,
2391,Wesley Person,198.0,88.0,1971.0,1995.0,2005.0,G,"March 28, 1971",,
2392,Derrick Phelps,193.0,82.0,1972.0,1995.0,1995.0,G,"July 31, 1972",,
2393,Eric Piatkowski,201.0,97.0,1970.0,1995.0,2008.0,G-F,"September 30, 1970",,
2394,Eldridge Recasner,190.0,86.0,1967.0,1995.0,2002.0,G,"December 14, 1967",,
2395,Khalid Reeves,190.0,90.0,1972.0,1995.0,2000.0,G,"July 15, 1972",,
2396,Glenn Robinson,201.0,102.0,1973.0,1995.0,2005.0,F,"January 10, 1973",,
2398,Carlos Rogers,211.0,99.0,1971.0,1995.0,2002.0,C-F,"February 6, 1971",,
2399,Jalen Rose,203.0,95.0,1973.0,1995.0,2007.0,G-F,"January 30, 1973",,
2400,Clifford Rozier,211.0,111.0,1972.0,1995.0,1998.0,C-F,"October 31, 1972",,
2401,Trevor Ruffin,185.0,83.0,1970.0,1995.0,1996.0,G,"September 26, 1970",,
2402,Dickey Simpkins,206.0,112.0,1972.0,1995.0,2002.0,F,"April 6, 1972",,
2403,Reggie Slater,201.0,97.0,1970.0,1995.0,2003.0,F,"August 27, 1970",,
2404,Mark Strickland,206.0,95.0,1970.0,1995.0,2003.0,F,"July 14, 1970",,
2405,Aaron Swinson,196.0,104.0,1971.0,1995.0,1995.0,F,"January 9, 1971",,
2406,Zan Tabak,213.0,111.0,1970.0,1995.0,2001.0,C,"June 15, 1970",,
2407,Brooks Thompson,193.0,87.0,1970.0,1995.0,1998.0,G,"July 19, 1970",,
2408,Anthony Tucker,203.0,99.0,1969.0,1995.0,1995.0,F,"April 4, 1969",,
2409,B.J. Tyler,203.0,99.0,1969.0,1995.0,1995.0,G,"April 30, 1971",,
2410,Fred Vinson,193.0,86.0,1971.0,1995.0,2000.0,G,"January 28, 1971",,
2411,Charlie Ward,188.0,86.0,1970.0,1995.0,2005.0,G,"October 12, 1970",,
2412,Jamie Watson,201.0,86.0,1972.0,1995.0,1999.0,F,"February 23, 1972",,
2413,Monty Williams,203.0,102.0,1971.0,1995.0,2003.0,F,"October 8, 1971",,
2414,Dontonio Wingfield,203.0,116.0,1974.0,1995.0,1998.0,F,"June 23, 1974",,
2415,Sharone Wright,211.0,117.0,1973.0,1995.0,1998.0,F-C,"January 30, 1973",,
2416,Cory Alexander,185.0,83.0,1973.0,1996.0,2005.0,G,"June 22, 1973",,
2417,Jerome Allen,193.0,83.0,1973.0,1996.0,1997.0,G,"January 28, 1973",,
2418,John Amaechi,208.0,122.0,1970.0,1996.0,2003.0,C-F,"November 26, 1970",,
2419,Ashraf Amaya,203.0,104.0,1971.0,1996.0,1997.0,F,"November 23, 1971",,
2420,Brent Barry,198.0,83.0,1971.0,1996.0,2009.0,G,"December 31, 1971",,
2421,Corey Beck,185.0,86.0,1971.0,1996.0,1999.0,G,"May 27, 1971",,
2422,Mario Bennett,198.0,106.0,1973.0,1996.0,2000.0,F,"August 1, 1973",,
2423,Travis Best,180.0,82.0,1972.0,1996.0,2005.0,G,"July 12, 1972",,
2424,Melvin Booker,185.0,83.0,1972.0,1996.0,1997.0,G,"August 20, 1972",,
2425,Donnie Boyce,196.0,88.0,1973.0,1996.0,1997.0,G,"September 2, 1973",,
2426,Marques Bragg,203.0,104.0,1970.0,1996.0,1996.0,F,"March 24, 1970",,
2427,Junior Burrough,203.0,109.0,1973.0,1996.0,1996.0,F,"January 18, 1973",,
2428,Jason Caffey,203.0,115.0,1973.0,1996.0,2003.0,F,"June 12, 1973",,
2429,Chris Carr,196.0,93.0,1974.0,1996.0,2001.0,G,"March 12, 1974",,
2430,Randolph Childress,188.0,85.0,1972.0,1996.0,1997.0,G,"September 21, 1972",,
2431,Robert Churchwell,198.0,88.0,1972.0,1996.0,1996.0,G-F,"February 20, 1972",,
2432,Charles Claxton,213.0,120.0,1970.0,1996.0,1996.0,C,"December 13, 1970",,
2433,John Coker,213.0,114.0,1971.0,1996.0,2001.0,C,"October 28, 1971",,
2434,Rastko Cvetkovic,216.0,117.0,1970.0,1996.0,1996.0,C,"June 22, 1970",,
2435,Sasha Danilovic,196.0,90.0,1970.0,1996.0,1997.0,G,"February 26, 1970",,
2436,Andrew DeClercq,208.0,104.0,1973.0,1996.0,2005.0,F-C,"February 1, 1973",,
2437,Tyus Edney,178.0,68.0,1973.0,1996.0,2001.0,G,"February 14, 1973",,
2438,Vincenzo Esposito,190.0,89.0,1969.0,1996.0,1996.0,G,"January 3, 1969",,
2439,Michael Finley,201.0,97.0,1973.0,1996.0,2010.0,G-F,"March 6, 1973",,
2440,Sherell Ford,201.0,95.0,1972.0,1996.0,1996.0,F,"August 26, 1972",,
2441,Kevin Garnett,211.0,108.0,1976.0,1996.0,2016.0,F-C,"May 19, 1976",,
2442,Anthony Goldwire,185.0,82.0,1971.0,1996.0,2006.0,G,"September 6, 1971",,
2443,Thomas Hamilton,218.0,149.0,1975.0,1996.0,2000.0,C,"April 3, 1975",,
2444,Alvin Heggs,203.0,102.0,1967.0,1996.0,1996.0,F,"December 12, 1967",,
2445,Alan Henderson,206.0,106.0,1972.0,1996.0,2007.0,F,"December 2, 1972",,
2446,Fred Hoiberg,193.0,92.0,1972.0,1996.0,2005.0,G,"October 15, 1972",,
2447,Darryl Johnson,201.0,95.0,1970.0,1996.0,1996.0,G,"October 26, 1965",,
2448,Frankie King,185.0,83.0,1972.0,1996.0,1997.0,G,"June 6, 1972",,
2449,Jimmy King,188.0,79.0,1941.0,1996.0,1997.0,G,"August 9, 1973",,
2450,Voshon Lenard,193.0,92.0,1973.0,1996.0,2006.0,G,"May 14, 1973",,
2451,Cedric Lewis,208.0,106.0,1969.0,1996.0,1996.0,F-C,"September 24, 1969",,
2452,Martin Lewis,196.0,95.0,1975.0,1996.0,1997.0,F,"April 28, 1975",,
2453,Rich Manning,211.0,114.0,1970.0,1996.0,1997.0,C,"June 23, 1970",,
2454,Donny Marshall,206.0,98.0,1973.0,1996.0,2003.0,F,"July 17, 1972",,
2455,Cuonzo Martin,196.0,96.0,1971.0,1996.0,1997.0,G-F,"September 23, 1971",,
2456,Clint McDaniel,193.0,81.0,1972.0,1996.0,1996.0,G,"February 26, 1972",,
2457,Antonio McDyess,206.0,99.0,1974.0,1996.0,2011.0,F-C,"September 7, 1974",,
2458,Loren Meyer,208.0,116.0,1972.0,1996.0,1999.0,C,"December 30, 1972",,
2459,Lawrence Moten,196.0,83.0,1972.0,1996.0,1998.0,G,"March 25, 1972",,
2460,Todd Mundt,213.0,113.0,1970.0,1996.0,1996.0,C,"May 17, 1970",,
2461,Howard Nathan,180.0,79.0,1972.0,1996.0,1996.0,G,"January 21, 1972",,
2462,Ed O'Bannon,203.0,100.0,1972.0,1996.0,1997.0,F,"August 14, 1972",,
2463,Greg Ostertag,218.0,127.0,1973.0,1996.0,2006.0,C,"March 6, 1973",,
2464,Cherokee Parks,196.0,95.0,1973.0,1996.0,2004.0,C-F,"October 11, 1972",,
2465,Theo Ratliff,208.0,102.0,1973.0,1996.0,2011.0,C-F,"April 17, 1973",,
2466,Bryant Reeves,213.0,124.0,1973.0,1996.0,2001.0,C,"June 8, 1973",,
